CPUNames,ReleaseDates
Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,Q2 2019
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,Q4 2017
Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz,Q4 2017
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,Q2 2018
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,Q2 2018
Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,Q2 2019
Intel(R) Core(TM) i7-9700F CPU @ 3.00GHz,Q2 2019
Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz,Q4 2018
Intel(R) Core(TM) i7-9700T CPU @ 2.00GHz,Q2 2019
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,Q2 2019
Intel(R) Core(TM) i9-10900X CPU @ 3.70GHz,Q4 2019
Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz,Q2 2019
Intel(R) Core(TM) i9-9900 CPU @ 3.10GHz,Q2 2019
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Q4 2018
Intel(R) Core(TM)2 Duo CPU     E4500  @ 2.20GHz,Q3 2007
Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,Q1 2009
Intel(R) Core(TM)2 Duo CPU     E7600  @ 3.06GHz,Q2 2009
Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz,Q1 2008
Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz,Q1 2008
Intel(R) Core(TM)2 Duo CPU     E8600  @ 3.33GHz,Q3 2008
Intel(R) Core(TM)2 Quad CPU    Q6600  @ 2.40GHz,Q1 2007
Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz,Q3 2008
Intel(R) Pentium(R) CPU  J3710  @ 1.60GHz,Q1 2016
Intel(R) Pentium(R) CPU  N3700  @ 1.60GHz,Q1 2015
Intel(R) Pentium(R) CPU 4415Y @ 1.60GHz,Q2 2017
Intel(R) Pentium(R) CPU 5405U @ 2.30GHz,Q1 2019
Intel(R) Pentium(R) CPU G2020T @ 2.50GHz,Q1 2013
Intel(R) Pentium(R) CPU G2030 @ 3.00GHz,Q2 2013
Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,Q3 2013
Intel(R) Pentium(R) CPU G3240T @ 2.70GHz,Q2 2014
Intel(R) Pentium(R) CPU G3250 @ 3.20GHz,Q3 2014
Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,Q3 2015
Intel(R) Pentium(R) CPU G4400T @ 2.90GHz,Q3 2015
Intel(R) Pentium(R) CPU G4560 @ 3.50GHz,Q1 2017
Intel(R) Pentium(R) CPU G630 @ 2.70GHz,Q3 2011
Intel(R) Pentium(R) CPU N4200 @ 1.10GHz,Q3 2016
Intel(R) Pentium(R) Gold G5400T CPU @ 3.10GHz,Q2 2018
Intel(R) Pentium(R) Gold G5420 CPU @ 3.80GHz,Q2 2019
Intel(R) Pentium(R) Silver J5005 CPU @ 1.50GHz,Q4 2017
Intel(R) Pentium(R) Silver J5040 CPU @ 2.00GHz,Q4 2019
Intel(R) Pentium(R) Silver N5000 CPU @ 1.10GHz,Q4 2017
Intel(R) Xeon(R) Bronze 3204 CPU @ 1.90GHz,Q2 2019
Intel(R) Xeon(R) CPU           X3430  @ 2.40GHz,Q3 2009
Intel(R) Xeon(R) CPU           X5570  @ 2.93GHz,Q1 2009
Intel(R) Xeon(R) CPU           X5660  @ 2.80GHz,Q1 2010
Intel(R) Xeon(R) CPU           X5672  @ 3.20GHz,Q1 2011
Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz,Q2 2012
Intel(R) Xeon(R) CPU E3-1220 v3 @ 3.10GHz,Q2 2013
Intel(R) Xeon(R) CPU E3-1220 v5 @ 3.00GHz,Q4 2015
Intel(R) Xeon(R) CPU E31225 @ 3.10GHz,Q2 2011
Intel(R) Xeon(R) CPU E3-1225 v3 @ 3.20GHz,Q2 2013
Intel(R) Xeon(R) CPU E3-1225 v5 @ 3.30GHz,Q4 2015
Intel(R) Xeon(R) CPU E3-1225 v6 @ 3.30GHz,Q1 2017
Intel(R) Xeon(R) CPU E3-1226 v3 @ 3.30GHz,Q2 2014
Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz,Q2 2013
Intel(R) Xeon(R) CPU E3-1230 v6 @ 3.50GHz,Q1 2017
Intel(R) Xeon(R) CPU E3-1245 v3 @ 3.40GHz,Q2 2013
Intel(R) Xeon(R) CPU E3-1246 v3 @ 3.50GHz,Q2 2014
Intel(R) Xeon(R) CPU E3-1270 V2 @ 3.50GHz,Q2 2012
Intel(R) Xeon(R) CPU E3-1270 v5 @ 3.60GHz,Q4 2015
Intel(R) Xeon(R) CPU E5-1603 0 @ 2.80GHz,Q1 2012
Intel(R) Xeon(R) CPU E5-1603 v3 @ 2.80GHz,Q3 2014
Intel(R) Xeon(R) CPU E5-1607 v3 @ 3.10GHz,Q3 2014
Intel(R) Xeon(R) CPU E5-2407 v2 @ 2.40GHz,Q1 2014
Intel(R) Xeon(R) CPU E5-2420 v2 @ 2.20GHz,Q1 2014
Intel(R) Xeon(R) CPU E5-2603 v4 @ 1.70GHz,Q1 2016
Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz,Q3 2014
Intel(R) Xeon(R) CPU E5-2609 v4 @ 1.70GHz,Q1 2016
Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz,Q3 2013
Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,Q3 2014
